question,answer,context
Quand a été créée la Faculté des Sciences et Techniques de Tanger (FSTT) et quelle est son affiliation?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,La question porte sur l'année de fondation de la FSTT et son affiliation universitaire.
Pouvez-vous me renseigner sur l'historique de la fondation de la Faculté des Sciences et Techniques de Tanger ainsi que son rattachement universitaire ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,La question concerne l'historique de création de la FSTT et son lien avec une université.
Je souhaiterais avoir des informations sur l'ancienneté et l'affiliation de l'établissement d'enseignement supérieur dénommé Faculté des Sciences et Techniques de Tanger.,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,Cette question demande des détails sur la longévité de la FSTT et son affiliation universitaire.
Quelle est la date de naissance de la FSTT ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995.,La question cherche à connaître l'année de fondation de la FSTT.
La Faculté des Sciences et Techniques de Tanger fait-elle partie d'une université particulière ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995.,Cette question explore l'affiliation de la FSTT avec une université spécifique.
La FSTT fait-elle partie d'une université particulière ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995.,La question vise à savoir si la FSTT est rattachée à une université en particulier.
Quelle est l'année de création de la Faculté des Sciences et Techniques de Tanger (FSTT) ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995.,La question cherche à déterminer l'année où la FSTT a été établie.
À quelle université est affiliée la FSTT ?, FSTT relève de l’Université Abdelmalek Essaâdi.,La question s'intéresse à l'affiliation universitaire de la FSTT.
À quelle université est affiliée la Faculté des Sciences et Techniques de Tanger ?, Elle relève de l’Université Abdelmalek Essaâdi.,Cette question demande à quelle université est rattachée la FSTT.
Quelle est l'année de création de la FSTT ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995.,La question cherche à connaître l'année de fondation de la FSTT.
Depuis quand existe la Faculté des Sciences et Techniques située à Tanger ?, La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995.,Cette question cherche à déterminer depuis combien de temps la FSTT existe.
Depuis quand existe FST Tanger ?, La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995.,La question vise à savoir depuis quand la FSTT existe.
FSTT sous la tutelle de quelle université se trouve-t-elle, La Faculté des Sciences et Techniques de Tanger (FSTT) relève de l’Université Abdelmalek Essaâdi.,Cette question cherche à savoir sous l'autorité de quelle université se trouve la FSTT.
La Faculté des Sciences et Techniques de Tanger sous la tutelle de quelle université se trouve-t-elle, La Faculté des Sciences et Techniques de Tanger (FSTT) relève de l’Université Abdelmalek Essaâdi.,La question explore l'affiliation universitaire de la FSTT et demande sous quelle université elle est placée.
Pouvez-vous me renseigner sur l'historique de la fondation de la Faculté des Sciences et Techniques de Tanger ainsi que son rattachement universitaire ?,La Faculté des Sciences et Techniques de Tanger (FSTT) a été créée en 1995. Elle relève de l’Université Abdelmalek Essaâdi.,La question demande des informations sur la création de la FSTT et son affiliation à une université.
Quels sont les enseignements dispensés au semestre 5 du programme LST en Ingénierie de Développement d'Applications Informatiques ?,"Au semestre 5, les cours sont : Modélisations avancée et Méthodes de génie logiciel, Développement Web, Base de données Structurées et non Structurées, Programmation Orientée Objet en C++/Java, Systèmes et réseaux informatiques, Développement de soft skills.",La question concerne les cours spécifiques offerts au semestre 5 du programme LST en Ingénierie de Développement d'Applications Informatiques.
Quels sont les cours proposés au semestre 6 du programme LST en Ingénierie de Développement d'Applications Informatiques ?,"Au semestre 6, les cours sont : Innover, Entreprendre et s’initier à la Gestion d'une Entreprise avec un ERP, Initiation en développement mobile et Edge Computing, Développement web avancé Back end (Python), PFE.",La question concerne les cours spécifiques offerts au semestre 6 du programme LST en Ingénierie de Développement d'Applications Informatiques.
Pouvez-vous me donner un aperçu des cours offerts au semestre 6 du programme LST en Ingénierie de Développement d'Applications Informatiques ?,"Au semestre 6, les cours sont : Innover, Entreprendre et s’initier à la Gestion d'une Entreprise avec un ERP, Initiation en développement mobile et Edge Computing, Développement web avancé Back end (Python), PFE.",La question demande un aperçu des cours spécifiques offerts au semestre 6 du programme LST en Ingénierie de Développement d'Applications Informatiques.
Quels cours sont inclus dans le programme du semestre 6 en Ingénierie de Développement d'Applications Informatiques ?,"Au semestre 6, les cours sont : Innover, Entreprendre et s’initier à la Gestion d'une Entreprise avec un ERP, Initiation en développement mobile et Edge Computing, Développement web avancé Back end (Python), PFE.",La question demande les cours inclus dans le programme du semestre 6 en Ingénierie de Développement d'Applications Informatiques.
Quels sont les enseignements dispensés au semestre 6 du programme LST en Ingénierie de Développement d'Applications Informatiques ?,"Au semestre 6, les cours sont : Innover, Entreprendre et s’initier à la Gestion d'une Entreprise avec un ERP, Initiation en développement mobile et Edge Computing, Développement web avancé Back end (Python), PFE.",La question concerne les enseignements dispensés au semestre 6 du programme LST en Ingénierie de Développement d'Applications Informatiques.
Qui est le coordinateur de ce programme LST en Ingénierie de Développement d'Applications Informatiques ?,Le coordinateur de ce programme est le Pr. KOUNAIDI Mohamed.,La question porte sur l'identité du coordinateur du programme LST en Ingénierie de Développement d'Applications Informatiques.
Qui est le responsable de ce programme LST en Ingénierie de Développement d'Applications Informatiques ?,Le coordinateur de ce programme est le Pr. KOUNAIDI Mohamed.,La question porte sur l'identité du responsable du programme LST en Ingénierie de Développement d'Applications Informatiques.
Qui est la personne en charge du programme LST en Ingénierie de Développement d'Applications Informatiques ?,Le coordinateur de ce programme est le Pr. KOUNAIDI Mohamed.,La question porte sur l'identité de la personne en charge du programme LST en Ingénierie de Développement d'Applications Informatiques.
Qui supervise le programme LST en Ingénierie de Développement d'Applications Informatiques ?,Le coordinateur de ce programme est le Pr. KOUNAIDI Mohamed.,La question porte sur la supervision du programme LST en Ingénierie de Développement d'Applications Informatiques.
Quel est l'e-mail du coordinateur du programme LST en Ingénierie de Développement d'Applications Informatiques ?,L'e-mail du coordinateur est : m.kounaidi@@uae.ac.ma,La question concerne l'adresse e-mail du coordinateur du programme LST en Ingénierie de Développement d'Applications Informatiques.
Quel est l'adresse e-mail du responsable du programme LST en Ingénierie de Développement d'Applications Informatiques ?,L'e-mail du coordinateur est : m.kounaidi@@uae.ac.ma,La question concerne l'adresse e-mail du responsable du programme LST en Ingénierie de Développement d'Applications Informatiques.
Comment puis-je contacter le coordinateur du programme LST en Ingénierie de Développement d'Applications Informatiques ?,L'e-mail du coordinateur est : m.kounaidi@@uae.ac.ma,La question concerne les modalités de contact avec le coordinateur du programme LST en Ingénierie de Développement d'Applications Informatiques.
Quel moyen de contact est disponible pour le coordinateur du programme LST en Ingénierie de Développement d'Applications Informatiques ?,L'e-mail du coordinateur est : m.kounaidi@@uae.ac.ma,La question vise à connaître les moyens de contacter le coordinateur du programme LST en Ingénierie de Développement d'Applications Informatiques.
Quelles compétences peuvent être acquises avec ce programme LST en Ingénierie Statistique ?,"Les compétences acquises comprennent notamment : Formation académique en mathématiques fondamentales et statistiques mathématiques offrant ainsi la possibilité de poursuivre les études en Master fondamental ou professionnel, Maîtrise de l’outil informatique et les logiciels statistiques spécialisés, Capacité à concevoir et à mener des études statistiques offrant des perspectives professionnelles dans différents secteurs socio-économiques et industriels.",La question explore les compétences que l'on peut acquérir grâce au programme LST en Ingénierie Statistique.
